cgpa,avg_ca_score,avg_exam_score,attendance_rate,courses_registered,level,gender,department,performance_category
3.75,25.8,51.3,74.39,4.0,500.0,Female,Law,Good
2.58,25.05,35.85,47.5,4.0,300.0,Male,Medicine,Average
1.23,3.54,5.61,31.26,7.0,400.0,Male,Civil Engineering,At-Risk
2.75,9.63,30.86,70.82,8.0,200.0,Male,Economics,Average
1.19,2.14,15.4,43.63,8.0,400.0,Female,Civil Engineering,At-Risk
3.63,25.1,49.55,82.37,8.0,300.0,Male,Medicine,Good
2.51,17.54,30.58,54.76,4.0,200.0,Male,Electrical Engineering,Average
2.21,13.8,29.59,64.88,6.0,100.0,Female,Economics,At-Risk
1.86,5.53,26.48,50.7,7.0,200.0,Male,Computer Science,At-Risk
3.34,23.85,53.82,62.71,7.0,300.0,Male,Computer Science,Average
2.13,6.65,29.0,51.53,7.0,200.0,Male,Mechanical Engineering,At-Risk
0.89,11.16,15.71,28.76,5.0,200.0,Female,Electrical Engineering,At-Risk
1.03,20.47,10.1,62.27,6.0,200.0,Female,Accounting,At-Risk
4.83,30.0,70.0,86.98,6.0,200.0,Female,Electrical Engineering,Excellent
4.59,30.0,67.25,91.51,8.0,400.0,Male,Mechanical Engineering,Excellent
3.65,19.43,58.01,68.42,5.0,300.0,Female,Electrical Engineering,Good
1.7,1.13,29.46,39.84,5.0,300.0,Female,Mass Communication,At-Risk
4.86,26.15,70.0,86.0,4.0,100.0,Female,Law,Excellent
4.0,18.56,55.27,89.06,4.0,300.0,Female,Mechanical Engineering,Good
3.73,15.12,54.12,69.5,8.0,500.0,Female,Electrical Engineering,Good
2.52,23.74,43.82,51.56,8.0,400.0,Male,Mass Communication,Average
1.73,11.71,18.93,52.26,5.0,300.0,Male,Medicine,At-Risk
0.93,7.5,8.05,46.2,7.0,200.0,Female,Mass Communication,At-Risk
4.56,25.83,65.32,100.0,6.0,200.0,Male,Electrical Engineering,Excellent
2.55,14.44,39.04,64.15,8.0,100.0,Female,Civil Engineering,Average
1.41,13.29,13.16,53.37,5.0,100.0,Female,Electrical Engineering,At-Risk
1.88,11.1,25.68,59.71,8.0,400.0,Male,Business Administration,At-Risk
3.11,21.29,42.74,55.75,5.0,500.0,Female,Electrical Engineering,Average
1.3,6.79,0.41,35.91,7.0,500.0,Male,Computer Science,At-Risk
4.35,24.42,59.21,71.42,5.0,400.0,Female,Accounting,Good
3.91,16.45,53.53,63.64,7.0,500.0,Male,Other,Good
3.74,12.54,51.04,82.81,5.0,300.0,Male,Medicine,Good
2.44,13.36,45.55,62.23,8.0,200.0,Female,Law,Average
3.32,20.22,36.79,70.67,7.0,200.0,Male,Law,Average
3.13,12.34,37.2,41.61,5.0,200.0,Male,Other,Average
3.42,20.37,27.04,91.65,8.0,400.0,Male,Electrical Engineering,Average
0.88,5.55,8.47,31.62,7.0,100.0,Female,Mechanical Engineering,At-Risk
2.37,3.45,30.03,78.97,6.0,500.0,Male,Economics,At-Risk
0.69,0.0,5.54,23.75,4.0,400.0,Male,Mass Communication,At-Risk
2.72,18.37,46.98,54.55,8.0,200.0,Male,Law,Average
1.98,13.84,34.67,31.78,7.0,400.0,Female,Law,At-Risk
1.15,1.13,16.73,47.43,7.0,100.0,Male,Civil Engineering,At-Risk
0.97,6.58,10.55,30.57,8.0,300.0,Male,Business Administration,At-Risk
3.14,23.98,52.23,57.0,7.0,100.0,Female,Computer Science,Average
1.27,11.49,17.59,31.49,5.0,100.0,Male,Civil Engineering,At-Risk
4.66,27.5,58.74,93.73,5.0,100.0,Female,Electrical Engineering,Excellent
3.11,16.35,29.88,74.49,4.0,400.0,Male,Other,Average
2.06,9.22,25.32,72.85,4.0,400.0,Female,Electrical Engineering,At-Risk
3.16,21.29,50.26,61.05,7.0,500.0,Male,Civil Engineering,Average
0.6,4.59,26.65,39.42,8.0,500.0,Female,Mass Communication,At-Risk
4.81,30.0,67.88,74.87,4.0,500.0,Female,Other,Excellent
2.67,16.68,31.26,58.69,6.0,500.0,Male,Business Administration,Average
4.02,28.23,46.83,73.08,4.0,100.0,Male,Accounting,Good
0.87,5.71,16.63,45.11,6.0,400.0,Male,Accounting,At-Risk
2.69,20.06,23.54,72.45,7.0,400.0,Male,Mass Communication,Average
2.71,20.6,42.32,72.41,8.0,100.0,Female,Law,Average
4.72,24.3,70.0,78.21,8.0,100.0,Male,Accounting,Excellent
3.07,9.4,46.51,76.86,5.0,500.0,Female,Business Administration,Average
2.63,23.5,35.07,61.13,8.0,500.0,Male,Business Administration,Average
1.7,11.49,28.34,47.17,7.0,200.0,Female,Medicine,At-Risk
1.99,3.38,29.26,46.82,5.0,100.0,Female,Mass Communication,At-Risk
2.84,13.49,33.58,58.52,5.0,200.0,Female,Computer Science,Average
2.48,18.71,49.45,77.12,4.0,100.0,Female,Law,Average
0.6,2.19,5.55,40.24,8.0,400.0,Female,Accounting,At-Risk
4.22,22.75,65.26,82.37,5.0,200.0,Female,Electrical Engineering,Good
4.53,30.0,44.11,81.77,5.0,100.0,Female,Electrical Engineering,Excellent
1.13,1.55,26.05,68.03,6.0,500.0,Male,Civil Engineering,At-Risk
2.99,13.97,53.65,78.97,4.0,500.0,Female,Mechanical Engineering,Average
0.99,6.99,14.08,34.65,8.0,500.0,Female,Electrical Engineering,At-Risk
3.53,23.1,53.82,69.56,7.0,500.0,Female,Civil Engineering,Good
1.77,13.08,29.19,49.04,4.0,100.0,Female,Mass Communication,At-Risk
3.47,25.36,43.4,73.07,4.0,400.0,Male,Medicine,Average
3.77,23.62,57.18,68.25,4.0,400.0,Male,Mechanical Engineering,Good
3.96,26.2,48.96,81.9,8.0,400.0,Male,Medicine,Good
0.98,4.61,8.92,56.34,6.0,200.0,Male,Business Administration,At-Risk
4.62,28.05,70.0,72.33,7.0,200.0,Male,Law,Excellent
1.54,9.75,29.3,37.15,4.0,500.0,Male,Mechanical Engineering,At-Risk
0.67,5.09,3.71,33.19,5.0,100.0,Female,Computer Science,At-Risk
3.0,21.84,36.09,61.59,6.0,400.0,Female,Civil Engineering,Average
2.17,15.79,25.2,76.01,5.0,400.0,Female,Other,At-Risk
4.23,25.63,65.14,90.83,7.0,400.0,Male,Economics,Good
4.14,20.78,49.92,89.09,8.0,300.0,Male,Computer Science,Good
1.93,11.9,29.83,50.48,5.0,400.0,Female,Other,At-Risk
4.79,28.59,70.0,84.59,7.0,500.0,Male,Mass Communication,Excellent
1.81,11.82,24.62,37.19,8.0,400.0,Female,Accounting,At-Risk
2.82,27.94,47.53,71.63,8.0,100.0,Female,Law,Average
1.65,7.29,20.69,54.73,4.0,200.0,Female,Mechanical Engineering,At-Risk
4.71,30.0,64.26,99.41,4.0,200.0,Male,Economics,Excellent
1.24,12.79,9.55,42.78,8.0,200.0,Female,Other,At-Risk
0.7,4.7,17.97,37.01,8.0,200.0,Female,Business Administration,At-Risk
2.46,26.44,28.28,61.2,5.0,200.0,Male,Computer Science,Average
4.97,27.9,70.0,98.51,6.0,400.0,Male,Law,Excellent
4.51,28.7,62.61,69.45,6.0,100.0,Female,Law,Excellent
3.87,19.22,45.74,83.79,7.0,400.0,Male,Law,Good
4.51,25.29,58.25,83.9,7.0,400.0,Female,Medicine,Excellent
4.52,28.37,70.0,73.66,5.0,500.0,Male,Electrical Engineering,Excellent
2.83,21.24,41.3,43.17,8.0,100.0,Female,Electrical Engineering,Average
1.92,13.13,18.83,51.7,4.0,200.0,Male,Law,At-Risk
3.97,30.0,58.08,92.17,4.0,500.0,Male,Mass Communication,Good
3.48,20.39,47.52,88.48,8.0,300.0,Male,Computer Science,Average
2.18,11.43,58.17,59.73,4.0,300.0,Male,Economics,At-Risk
0.93,19.07,15.23,60.72,8.0,100.0,Male,Accounting,At-Risk
3.86,25.13,51.0,75.9,5.0,400.0,Female,Civil Engineering,Good
1.68,6.49,34.9,59.71,5.0,200.0,Male,Medicine,At-Risk
4.72,24.82,51.29,82.08,4.0,500.0,Male,Other,Excellent
1.58,4.79,22.94,43.87,8.0,200.0,Male,Mass Communication,At-Risk
1.05,11.0,30.69,35.85,5.0,100.0,Female,Electrical Engineering,At-Risk
4.24,23.62,58.43,60.27,4.0,300.0,Female,Accounting,Good
1.19,7.78,2.79,57.15,6.0,300.0,Female,Other,At-Risk
1.31,7.52,15.13,39.26,4.0,300.0,Male,Mechanical Engineering,At-Risk
3.2,22.84,56.4,60.35,7.0,500.0,Female,Mass Communication,Average
4.44,22.38,65.11,71.43,4.0,200.0,Male,Accounting,Good
1.38,2.93,12.66,44.56,6.0,200.0,Female,Accounting,At-Risk
1.9,12.5,21.07,70.39,5.0,400.0,Male,Mechanical Engineering,At-Risk
4.0,26.99,51.5,98.92,4.0,100.0,Female,Other,Good
4.87,30.0,70.0,71.87,4.0,500.0,Female,Accounting,Excellent
2.75,12.47,49.25,59.5,6.0,200.0,Male,Economics,Average
1.15,10.27,24.48,33.43,5.0,200.0,Female,Accounting,At-Risk
0.56,0.0,11.53,46.64,4.0,100.0,Male,Computer Science,At-Risk
1.53,6.59,10.82,51.27,4.0,200.0,Female,Law,At-Risk
1.09,1.84,4.68,36.75,8.0,300.0,Female,Civil Engineering,At-Risk
3.55,27.8,53.96,73.32,7.0,400.0,Female,Mechanical Engineering,Good
1.05,9.46,3.91,37.8,7.0,500.0,Female,Law,At-Risk
2.78,19.7,37.09,79.48,8.0,400.0,Male,Mechanical Engineering,Average
3.62,27.98,53.17,78.96,4.0,200.0,Male,Medicine,Good
3.12,30.0,34.51,74.08,7.0,500.0,Female,Accounting,Average
1.4,0.0,11.39,20.12,7.0,100.0,Male,Law,At-Risk
4.12,21.02,56.91,78.75,5.0,200.0,Male,Computer Science,Good
3.72,19.24,56.1,95.46,6.0,200.0,Male,Law,Good
3.83,18.7,62.05,89.17,7.0,300.0,Female,Mechanical Engineering,Good
1.09,1.15,20.11,24.61,7.0,200.0,Male,Mass Communication,At-Risk
1.06,4.84,15.39,39.55,5.0,500.0,Male,Civil Engineering,At-Risk
4.67,21.96,59.47,74.07,7.0,200.0,Male,Computer Science,Excellent
2.29,15.41,23.48,74.58,7.0,200.0,Male,Accounting,At-Risk
1.85,11.38,21.87,54.69,4.0,400.0,Female,Computer Science,At-Risk
2.7,18.6,41.06,54.71,6.0,300.0,Female,Mechanical Engineering,Average
3.48,23.44,51.45,72.14,6.0,300.0,Female,Medicine,Average
4.8,30.0,50.41,61.53,5.0,500.0,Female,Economics,Excellent
1.79,8.87,18.76,40.62,4.0,300.0,Male,Medicine,At-Risk
4.66,30.0,70.0,86.3,4.0,100.0,Female,Mass Communication,Excellent
0.61,4.84,9.2,45.8,7.0,400.0,Male,Accounting,At-Risk
3.0,8.68,30.64,46.57,8.0,400.0,Male,Accounting,Average
3.35,15.11,65.79,66.42,6.0,200.0,Male,Computer Science,Average
0.98,0.0,13.44,51.82,8.0,500.0,Male,Civil Engineering,At-Risk
1.13,6.88,18.92,29.06,8.0,200.0,Female,Medicine,At-Risk
2.39,13.71,36.6,60.92,7.0,100.0,Male,Computer Science,At-Risk
4.85,26.75,64.93,88.84,6.0,100.0,Female,Civil Engineering,Excellent
3.18,29.15,38.73,85.33,8.0,400.0,Male,Electrical Engineering,Average
4.7,30.0,70.0,84.08,7.0,200.0,Male,Mass Communication,Excellent
4.12,28.35,65.7,77.72,8.0,300.0,Male,Economics,Good
2.6,10.96,43.02,69.79,8.0,400.0,Male,Medicine,Average
4.03,19.19,61.05,65.11,4.0,500.0,Male,Medicine,Good
0.58,3.67,0.1,34.75,7.0,300.0,Female,Mechanical Engineering,At-Risk
0.99,6.81,24.1,37.34,7.0,500.0,Female,Computer Science,At-Risk
4.23,16.11,52.51,79.4,8.0,200.0,Female,Business Administration,Good
4.09,23.61,59.47,87.51,5.0,500.0,Male,Mechanical Engineering,Good
1.55,9.35,8.54,54.1,8.0,200.0,Female,Civil Engineering,At-Risk
2.89,16.26,24.11,57.17,6.0,100.0,Female,Civil Engineering,Average
3.23,15.3,47.73,70.09,5.0,400.0,Male,Law,Average
4.4,23.73,55.19,97.76,4.0,400.0,Female,Civil Engineering,Good
3.21,18.4,29.08,60.25,5.0,500.0,Female,Electrical Engineering,Average
2.36,14.59,37.32,59.73,8.0,500.0,Female,Other,At-Risk
2.18,16.13,47.53,54.27,7.0,100.0,Male,Computer Science,At-Risk
2.42,19.9,44.95,58.37,7.0,400.0,Male,Mechanical Engineering,Average
3.43,19.13,46.01,54.9,8.0,400.0,Male,Civil Engineering,Average
4.4,24.14,61.72,96.95,5.0,400.0,Male,Computer Science,Good
2.54,17.44,42.7,52.77,7.0,100.0,Male,Mass Communication,Average
1.62,12.75,31.59,59.64,5.0,100.0,Male,Civil Engineering,At-Risk
1.56,7.22,19.16,42.57,8.0,400.0,Male,Law,At-Risk
3.86,27.09,54.27,70.03,6.0,500.0,Female,Electrical Engineering,Good
4.17,29.95,60.85,92.23,8.0,100.0,Male,Accounting,Good
0.97,12.3,18.06,51.62,7.0,100.0,Male,Electrical Engineering,At-Risk
0.8,13.69,10.13,41.68,7.0,300.0,Male,Mechanical Engineering,At-Risk
3.17,14.72,43.49,75.71,8.0,200.0,Male,Business Administration,Average
1.16,7.02,27.25,41.01,7.0,500.0,Female,Mass Communication,At-Risk
4.21,25.32,68.63,80.45,5.0,500.0,Female,Civil Engineering,Good
1.9,10.89,30.37,46.14,6.0,300.0,Female,Law,At-Risk
1.15,3.64,29.82,52.81,6.0,500.0,Female,Electrical Engineering,At-Risk
4.64,20.44,61.93,78.8,4.0,200.0,Male,Mechanical Engineering,Excellent
1.24,7.93,30.41,59.79,6.0,500.0,Female,Economics,At-Risk
1.78,6.85,29.28,48.22,6.0,300.0,Female,Accounting,At-Risk
1.19,7.58,42.85,44.5,5.0,300.0,Male,Accounting,At-Risk
1.02,2.15,4.74,49.82,4.0,100.0,Female,Medicine,At-Risk
0.6,0.0,2.82,37.38,6.0,100.0,Female,Computer Science,At-Risk
0.75,5.67,13.84,36.01,6.0,100.0,Female,Medicine,At-Risk
1.29,8.47,21.18,45.13,4.0,300.0,Male,Mass Communication,At-Risk
0.74,7.34,25.96,47.82,7.0,100.0,Male,Law,At-Risk
3.16,29.89,38.9,61.29,4.0,100.0,Male,Civil Engineering,Average
3.56,22.77,57.12,71.5,4.0,400.0,Male,Civil Engineering,Good
2.27,16.05,41.1,57.36,6.0,500.0,Female,Other,At-Risk
1.93,6.2,32.67,61.82,5.0,100.0,Male,Law,At-Risk
2.77,10.19,31.1,62.25,8.0,300.0,Female,Other,Average
4.44,30.0,70.0,100.0,4.0,500.0,Male,Other,Good
4.33,21.36,70.0,80.4,5.0,300.0,Male,Business Administration,Good
0.7,0.0,14.54,35.97,7.0,100.0,Female,Electrical Engineering,At-Risk
1.32,7.7,20.07,44.09,5.0,100.0,Male,Mechanical Engineering,At-Risk
1.57,8.94,23.72,35.62,8.0,500.0,Male,Civil Engineering,At-Risk
1.62,5.22,22.08,39.1,7.0,300.0,Male,Mass Communication,At-Risk
3.07,16.9,48.11,61.54,8.0,100.0,Male,Civil Engineering,Average
2.37,20.39,33.47,69.84,8.0,500.0,Female,Civil Engineering,At-Risk
0.72,0.3,3.31,38.33,4.0,500.0,Female,Mass Communication,At-Risk
2.18,6.12,22.15,51.33,6.0,400.0,Female,Electrical Engineering,At-Risk
2.86,21.85,33.98,76.55,7.0,100.0,Female,Medicine,Average
0.96,8.21,15.18,57.0,4.0,100.0,Male,Economics,At-Risk
4.25,22.4,59.29,93.56,6.0,200.0,Female,Other,Good
0.73,0.0,12.0,30.28,7.0,100.0,Male,Accounting,At-Risk
4.66,24.25,69.27,80.99,7.0,300.0,Male,Accounting,Excellent
0.95,5.4,8.23,59.49,6.0,200.0,Female,Mass Communication,At-Risk
4.3,30.0,70.0,83.96,8.0,400.0,Male,Other,Good
4.56,22.19,61.73,82.07,7.0,100.0,Female,Law,Excellent
4.91,29.03,65.25,96.08,4.0,400.0,Female,Medicine,Excellent
4.11,28.03,61.39,89.38,5.0,500.0,Male,Mass Communication,Good
4.01,12.14,41.42,72.38,8.0,100.0,Male,Other,Good
3.39,25.52,41.15,72.89,4.0,400.0,Female,Law,Average
4.01,18.12,63.93,87.33,4.0,300.0,Female,Civil Engineering,Good
1.11,8.29,1.58,31.66,5.0,100.0,Female,Medicine,At-Risk
2.91,18.71,49.71,65.07,8.0,200.0,Female,Mechanical Engineering,Average
2.81,22.31,51.49,52.62,7.0,400.0,Male,Accounting,Average
4.36,28.91,58.07,72.47,4.0,500.0,Male,Business Administration,Good
2.58,3.61,38.49,55.36,5.0,200.0,Female,Other,Average
2.23,9.47,40.21,61.57,8.0,100.0,Male,Economics,At-Risk
3.38,20.96,43.56,67.32,5.0,200.0,Female,Other,Average
1.7,9.22,30.73,43.9,6.0,500.0,Female,Law,At-Risk
1.13,9.16,10.44,44.06,6.0,300.0,Female,Mass Communication,At-Risk
2.65,19.85,33.29,50.34,7.0,300.0,Male,Electrical Engineering,Average
2.38,17.3,26.87,62.8,7.0,100.0,Female,Law,At-Risk
1.55,8.21,24.39,59.87,8.0,400.0,Male,Mechanical Engineering,At-Risk
2.15,3.69,39.42,55.05,4.0,300.0,Female,Economics,At-Risk
2.15,10.62,28.61,53.76,6.0,300.0,Male,Accounting,At-Risk
1.97,13.92,17.46,57.42,7.0,500.0,Female,Mechanical Engineering,At-Risk
2.21,7.79,22.24,36.21,6.0,300.0,Male,Other,At-Risk
3.59,24.67,53.36,78.4,7.0,500.0,Male,Mass Communication,Good
1.84,15.56,40.46,83.05,7.0,300.0,Male,Economics,At-Risk
4.77,29.25,69.93,86.01,5.0,200.0,Female,Computer Science,Excellent
4.62,12.42,61.63,84.29,4.0,500.0,Male,Mechanical Engineering,Excellent
2.66,9.59,43.43,69.41,8.0,400.0,Male,Mechanical Engineering,Average
1.98,21.3,25.77,70.18,8.0,400.0,Male,Other,At-Risk
2.91,14.72,37.71,74.66,8.0,200.0,Male,Business Administration,Average
4.32,15.99,52.79,60.27,5.0,400.0,Male,Computer Science,Good
3.44,26.8,59.38,76.87,5.0,300.0,Male,Economics,Average
4.12,24.79,37.36,100.0,5.0,100.0,Female,Other,Good
2.9,22.91,46.94,70.99,4.0,200.0,Female,Economics,Average
3.35,21.47,43.16,58.63,4.0,500.0,Female,Business Administration,Average
1.8,13.07,21.87,54.38,5.0,300.0,Female,Electrical Engineering,At-Risk
3.81,24.66,66.84,62.88,8.0,400.0,Male,Mass Communication,Good
1.41,11.95,14.04,59.26,5.0,100.0,Female,Electrical Engineering,At-Risk
3.63,30.0,45.33,63.96,6.0,200.0,Male,Other,Good
4.37,30.0,60.18,83.22,6.0,500.0,Female,Mechanical Engineering,Good
1.09,0.0,18.63,34.56,5.0,300.0,Male,Electrical Engineering,At-Risk
3.26,21.82,42.17,63.71,8.0,500.0,Male,Civil Engineering,Average
0.93,11.27,0.4,56.0,4.0,500.0,Male,Computer Science,At-Risk
3.77,28.61,45.79,76.22,8.0,200.0,Female,Computer Science,Good
0.88,3.15,22.57,34.97,7.0,500.0,Male,Mechanical Engineering,At-Risk
4.71,30.0,66.56,75.09,5.0,400.0,Female,Medicine,Excellent
1.12,11.35,19.27,24.7,7.0,100.0,Male,Law,At-Risk
4.81,30.0,65.32,75.27,6.0,100.0,Male,Mechanical Engineering,Excellent
4.1,20.87,52.18,80.37,8.0,100.0,Female,Medicine,Good
3.17,16.49,57.82,77.86,4.0,400.0,Female,Civil Engineering,Average
4.02,22.6,54.8,72.66,4.0,100.0,Female,Business Administration,Good
4.08,22.02,53.55,94.64,6.0,200.0,Female,Civil Engineering,Good
4.76,24.09,70.0,79.91,8.0,300.0,Female,Mass Communication,Excellent
1.64,0.0,17.18,47.3,4.0,100.0,Male,Accounting,At-Risk
3.16,16.76,39.42,57.07,7.0,200.0,Female,Accounting,Average
0.93,7.41,13.07,51.04,8.0,400.0,Female,Mass Communication,At-Risk
3.27,17.17,45.82,90.25,6.0,500.0,Male,Medicine,Average
1.27,17.3,19.87,27.63,8.0,300.0,Male,Electrical Engineering,At-Risk
3.04,18.32,59.33,63.05,7.0,400.0,Female,Mechanical Engineering,Average
3.08,24.91,45.75,79.56,5.0,300.0,Male,Civil Engineering,Average
2.6,16.89,17.33,46.69,8.0,300.0,Female,Electrical Engineering,Average
2.85,21.24,42.54,69.89,7.0,300.0,Male,Medicine,Average
3.94,25.02,55.43,89.47,4.0,500.0,Male,Accounting,Good
4.1,30.0,57.7,79.94,6.0,100.0,Male,Computer Science,Good
2.71,16.57,39.97,68.08,7.0,300.0,Male,Business Administration,Average
3.2,21.67,44.54,85.99,8.0,100.0,Male,Mass Communication,Average
4.69,29.98,65.25,100.0,7.0,500.0,Male,Mass Communication,Excellent
1.04,4.79,19.45,41.85,6.0,400.0,Female,Other,At-Risk
1.03,8.19,10.04,37.0,5.0,100.0,Female,Other,At-Risk
0.89,16.54,4.94,31.54,4.0,400.0,Male,Economics,At-Risk
3.46,19.41,70.0,81.29,4.0,300.0,Male,Other,Average
2.38,16.4,27.65,44.89,7.0,100.0,Female,Other,At-Risk
3.98,30.0,56.58,75.29,8.0,500.0,Female,Economics,Good
3.52,26.82,37.32,73.27,4.0,200.0,Female,Business Administration,Good
2.0,12.07,28.95,48.99,7.0,100.0,Female,Other,At-Risk
